    position    Gaussian        Step       Sin_2       Sin_4
 -2.5000e-01  6.8436e-01  9.6441e-01  4.7453e-03  1.7446e-02
 -2.4000e-01  7.0005e-01  9.6969e-01 -2.8005e-02  1.5867e-02
 -2.3000e-01  7.1542e-01  9.7430e-01 -5.9735e-02  1.4437e-02
 -2.2000e-01  7.3046e-01  9.7831e-01 -9.0022e-02  1.3095e-02
 -2.1000e-01  7.4512e-01  9.8176e-01 -1.1845e-01  1.1791e-02
 -2.0000e-01  7.5937e-01  9.8474e-01 -1.4465e-01  1.0486e-02
 -1.9000e-01  7.7318e-01  9.8728e-01 -1.6824e-01  9.1544e-03
 -1.8000e-01  7.8650e-01  9.8945e-01 -1.8891e-01  7.7863e-03
 -1.7000e-01  7.9932e-01  9.9128e-01 -2.0637e-01  6.3855e-03
 -1.6000e-01  8.1158e-01  9.9283e-01 -2.2038e-01  4.9681e-03
 -1.5000e-01  8.2328e-01  9.9413e-01 -2.3075e-01  3.5615e-03
 -1.4000e-01  8.3436e-01  9.9521e-01 -2.3735e-01  2.2006e-03
 -1.3000e-01  8.4482e-01  9.9611e-01 -2.4009e-01  9.2544e-04
 -1.2000e-01  8.5461e-01  9.9686e-01 -2.3895e-01 -2.2265e-04
 -1.1000e-01  8.6371e-01  9.9747e-01 -2.3396e-01 -1.2043e-03
 -1.0000e-01  8.7210e-01  9.9797e-01 -2.2523e-01 -1.9855e-03
 -9.0000e-02  8.7975e-01  9.9838e-01 -2.1289e-01 -2.5403e-03
 -8.0000e-02  8.8665e-01  9.9871e-01 -1.9715e-01 -2.8530e-03
 -7.0000e-02  8.9278e-01  9.9898e-01 -1.7827e-01 -2.9200e-03
 -6.0000e-02  8.9812e-01  9.9919e-01 -1.5655e-01 -2.7503e-03
 -5.0000e-02  9.0265e-01  9.9936e-01 -1.3234e-01 -2.3655e-03
 -4.0000e-02  9.0636e-01  9.9949e-01 -1.0603e-01 -1.7987e-03
 -3.0000e-02  9.0925e-01  9.9960e-01 -7.8028e-02 -1.0931e-03
 -2.0000e-02  9.1130e-01  9.9967e-01 -4.8789e-02 -2.9903e-04
 -1.0000e-02  9.1251e-01  9.9973e-01 -1.8773e-02  5.2819e-04
  0.0000e+00  9.1288e-01  9.9976e-01  1.1544e-02  1.3321e-03
  1.0000e-02  9.1240e-01  9.9978e-01  4.1682e-02  2.0580e-03
  2.0000e-02  9.1107e-01  9.9978e-01  7.1163e-02  2.6564e-03
  3.0000e-02  9.0891e-01  9.9976e-01  9.9521e-02  3.0857e-03
  4.0000e-02  9.0592e-01  9.9972e-01  1.2631e-01  3.3147e-03
  5.0000e-02  9.0209e-01  9.9965e-01  1.5109e-01  3.3243e-03
  6.0000e-02  8.9746e-01  9.9956e-01  1.7349e-01  3.1081e-03
  7.0000e-02  8.9202e-01  9.9943e-01  1.9314e-01  2.6730e-03
  8.0000e-02  8.8580e-01  9.9926e-01  2.0972e-01  2.0380e-03
  9.0000e-02  8.7880e-01  9.9904e-01  2.2298e-01  1.2326e-03
  1.0000e-01  8.7105e-01  9.9876e-01  2.3269e-01  2.9462e-04
  1.1000e-01  8.6258e-01  9.9840e-01  2.3870e-01 -7.3274e-04
  1.2000e-01  8.5340e-01  9.9794e-01  2.4090e-01 -1.8044e-03
  1.3000e-01  8.4353e-01  9.9736e-01  2.3924e-01 -2.8770e-03
  1.4000e-01  8.3301e-01  9.9665e-01  2.3374e-01 -3.9121e-03
  1.5000e-01  8.2186e-01  9.9576e-01  2.2446e-01 -4.8799e-03
  1.6000e-01  8.1011e-01  9.9467e-01  2.1152e-01 -5.7619e-03
  1.7000e-01  7.9779e-01  9.9334e-01  1.9512e-01 -6.5531e-03
  1.8000e-01  7.8493e-01  9.9172e-01  1.7547e-01 -7.2636e-03
  1.9000e-01  7.7157e-01  9.8978e-01  1.5286e-01 -7.9190e-03
  2.0000e-01  7.5773e-01  9.8745e-01  1.2758e-01 -8.5604e-03
  2.1000e-01  7.4346e-01  9.8469e-01  1.0001e-01 -9.2424e-03
  2.2000e-01  7.2878e-01  9.8142e-01  7.0508e-02 -1.0032e-02
  2.3000e-01  7.1373e-01  9.7758e-01  3.9487e-02 -1.1004e-02
  2.4000e-01  6.9834e-01  9.7310e-01  7.3621e-03 -1.2239e-02
  2.5000e-01  6.8266e-01  9.6791e-01 -2.5440e-02 -1.3818e-02
  2.6000e-01  6.6671e-01  9.6193e-01 -5.8492e-02 -1.5820e-02
  2.7000e-01  6.5054e-01  9.5508e-01 -9.1370e-02 -1.8315e-02
  2.8000e-01  6.3417e-01  9.4729e-01 -1.2367e-01 -2.1363e-02
  2.9000e-01  6.1765e-01  9.3848e-01 -1.5499e-01 -2.5006e-02
  3.0000e-01  6.0100e-01  9.2857e-01 -1.8497e-01 -2.9270e-02
  3.1000e-01  5.8426e-01  9.1750e-01 -2.1328e-01 -3.4158e-02
  3.2000e-01  5.6746e-01  9.0521e-01 -2.3961e-01 -3.9653e-02
  3.3000e-01  5.5064e-01  8.9164e-01 -2.6370e-01 -4.5713e-02
  3.4000e-01  5.3382e-01  8.7676e-01 -2.8534e-01 -5.2274e-02
  3.5000e-01  5.1704e-01  8.6052e-01 -3.0434e-01 -5.9253e-02
  3.6000e-01  5.0032e-01  8.4291e-01 -3.2057e-01 -6.6547e-02
  3.7000e-01  4.8370e-01  8.2394e-01 -3.3396e-01 -7.4038e-02
  3.8000e-01  4.6721e-01  8.0361e-01 -3.4446e-01 -8.1595e-02
  3.9000e-01  4.5085e-01  7.8195e-01 -3.5207e-01 -8.9082e-02
  4.0000e-01  4.3467e-01  7.5901e-01 -3.5685e-01 -9.6357e-02
  4.1000e-01  4.1869e-01  7.3486e-01 -3.5887e-01 -1.0328e-01
  4.2000e-01  4.0292e-01  7.0958e-01 -3.5826e-01 -1.0972e-01
  4.3000e-01  3.8739e-01  6.8326e-01 -3.5517e-01 -1.1556e-01
  4.4000e-01  3.7211e-01  6.5602e-01 -3.4978e-01 -1.2068e-01
  4.5000e-01  3.5711e-01  6.2799e-01 -3.4228e-01 -1.2499e-01
  4.6000e-01  3.4240e-01  5.9932e-01 -3.3290e-01 -1.2842e-01
  4.7000e-01  3.2799e-01  5.7013e-01 -3.2186e-01 -1.3091e-01
  4.8000e-01  3.1390e-01  5.4061e-01 -3.0941e-01 -1.3243e-01
  4.9000e-01  3.0013e-01  5.1090e-01 -2.9577e-01 -1.3297e-01
  5.0000e-01  2.8671e-01  4.8118e-01 -2.8120e-01 -1.3255e-01
  5.1000e-01  2.7364e-01  4.5160e-01 -2.6591e-01 -1.3119e-01
  5.2000e-01  2.6092e-01  4.2234e-01 -2.5014e-01 -1.2894e-01
  5.3000e-01  2.4856e-01  3.9354e-01 -2.3409e-01 -1.2587e-01
  5.4000e-01  2.3657e-01  3.6535e-01 -2.1796e-01 -1.2205e-01
  5.5000e-01  2.2495e-01  3.3791e-01 -2.0193e-01 -1.1757e-01
  5.6000e-01  2.1371e-01  3.1134e-01 -1.8615e-01 -1.1253e-01
  5.7000e-01  2.0284e-01  2.8576e-01 -1.7076e-01 -1.0703e-01
  5.8000e-01  1.9235e-01  2.6125e-01 -1.5589e-01 -1.0116e-01
  5.9000e-01  1.8223e-01  2.3791e-01 -1.4163e-01 -9.5035e-02
  6.0000e-01  1.7249e-01  2.1579e-01 -1.2806e-01 -8.8740e-02
  6.1000e-01  1.6312e-01  1.9493e-01 -1.1525e-01 -8.2371e-02
  6.2000e-01  1.5412e-01  1.7538e-01 -1.0323e-01 -7.6013e-02
  6.3000e-01  1.4548e-01  1.5715e-01 -9.2032e-02 -6.9740e-02
  6.4000e-01  1.3719e-01  1.4023e-01 -8.1670e-02 -6.3620e-02
  6.5000e-01  1.2927e-01  1.2461e-01 -7.2141e-02 -5.7711e-02
  6.6000e-01  1.2169e-01  1.1027e-01 -6.3431e-02 -5.2059e-02
  6.7000e-01  1.1445e-01  9.7171e-02 -5.5518e-02 -4.6702e-02
  6.8000e-01  1.0754e-01  8.5267e-02 -4.8371e-02 -4.1668e-02
  6.9000e-01  1.0097e-01  7.4505e-02 -4.1954e-02 -3.6977e-02
  7.0000e-01  9.4706e-02  6.4824e-02 -3.6223e-02 -3.2638e-02
  7.1000e-01  8.8757e-02  5.6161e-02 -3.1135e-02 -2.8656e-02
  7.2000e-01  8.3110e-02  4.8447e-02 -2.6641e-02 -2.5029e-02
  7.3000e-01  7.7756e-02  4.1613e-02 -2.2695e-02 -2.1746e-02
  7.4000e-01  7.2688e-02  3.5590e-02 -1.9246e-02 -1.8797e-02
  7.5000e-01  6.7896e-02  3.0307e-02 -1.6249e-02 -1.6165e-02
  7.6000e-01  6.3371e-02  2.5697e-02 -1.3658e-02 -1.3831e-02
  7.7000e-01  5.9106e-02  2.1694e-02 -1.1430e-02 -1.1774e-02
  7.8000e-01  5.5092e-02  1.8235e-02 -9.5224e-03 -9.9730e-03
  7.9000e-01  5.1320e-02  1.5261e-02 -7.8985e-03 -8.4055e-03
  8.0000e-01  4.7782e-02  1.2717e-02 -6.5228e-03 -7.0494e-03
  8.1000e-01  4.4470e-02  1.0551e-02 -5.3631e-03 -5.8832e-03
  8.2000e-01  4.1376e-02  8.7157e-03 -4.3903e-03 -4.8860e-03
  8.3000e-01  3.8494e-02  7.1684e-03 -3.5783e-03 -4.0381e-03
  8.4000e-01  3.5815e-02  5.8703e-03 -2.9038e-03 -3.3213e-03
  8.5000e-01  3.3333e-02  4.7863e-03 -2.3462e-03 -2.7187e-03
  8.6000e-01  3.1041e-02  3.8856e-03 -1.8874e-03 -2.2148e-03
  8.7000e-01  2.8934e-02  3.1408e-03 -1.5117e-03 -1.7957e-03
  8.8000e-01  2.7005e-02  2.5279e-03 -1.2056e-03 -1.4490e-03
  8.9000e-01  2.5250e-02  2.0259e-03 -9.5724e-04 -1.1636e-03
  9.0000e-01  2.3663e-02  1.6168e-03 -7.5670e-04 -9.3000e-04
  9.1000e-01  2.2240e-02  1.2851e-03 -5.9547e-04 -7.3963e-04
  9.2000e-01  2.0976e-02  1.0175e-03 -4.6640e-04 -5.8521e-04
  9.3000e-01  1.9869e-02  8.0300e-04 -3.6345e-04 -4.6046e-04
  9.4000e-01  1.8915e-02  6.3212e-04 -2.8160e-04 -3.6000e-04
  9.5000e-01  1.8110e-02  4.9711e-04 -2.1663e-04 -2.7923e-04
  9.6000e-01  1.7453e-02  3.9163e-04 -1.6503e-04 -2.1424e-04
  9.7000e-01  1.6942e-02  3.1057e-04 -1.2387e-04 -1.6166e-04
  9.8000e-01  1.6575e-02  2.4991e-04 -9.0677e-05 -1.1859e-04
  9.9000e-01  1.6351e-02  2.0667e-04 -6.3316e-05 -8.2492e-05
  1.0000e+00  1.6270e-02  1.7877e-04 -3.9920e-05 -5.1060e-05
